Zona;Contrato;Uso;Direccion Suministro;Contador;Diametro;F.Instalacion;Marca;Emplazamiento;Edad
"	Z022";275291;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº 1, Plt 2º, D;42899;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";266967;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº 2, Plt BAJO, A;42898;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";59208;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº 3;42918;15;01/04/2023;Sin Determinar;Sin determinar;1
"	Z022";275476;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº 3, Plt 1º, E;42888;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275451;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº 3, Plt 3º, C;42916;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275464;DOMÉSTICO;C/JOSEFA AYNAT AMOROS, Nº 3, Plt BAJO, -CP-;42913;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";8670059;DOMÉSTICO;C/LA PALETA, Nº, 5  DA;42953;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";267798;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 1, -CP-;42279;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z022";267792;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 1, Plt 1º, A;42281;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z022";267804;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 1, Plt 1º, B;42690;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";59115;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 1, Plt 1º, C;42691;15;01/01/2022;Sin Determinar;Sin determinar;2
"	Z022";267833;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 1, Plt 1º, D;42280;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z022";267849;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 1, Plt 2º, A;42274;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z022";267821;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 1, Plt 2º, B;42695;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";267898;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 1, Plt 2º, C;42278;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z022";267791;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 1, Plt 2º, D;42276;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z022";267787;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 1, Plt 3º, A;42275;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z022";267820;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 1, Plt 3º, C;42698;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";267794;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 1, Plt 3º, D;42277;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z022";267790;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 1, Plt 4º, A;42282;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z022";267832;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 1, Plt 4º, B;42697;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";8559380;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 1, Plt 4º, C;42692;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";267817;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 1, Plt 4º, D;42273;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z022";268228;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 3, -CP-;41951;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z022";268214;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 3, Plt 1º, A;41954;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z022";268250;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 3, Plt 1º, B;41933;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z022";59100;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 3, Plt 1º, C;41958;15;01/10/2021;Sin Determinar;Sin determinar;3
"	Z022";268222;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 3, Plt 2º, A;41950;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z022";268215;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 3, Plt 2º, B;41953;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z022";268240;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 3, Plt 2º, C;41955;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z022";8575374;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 3, Plt 3º, A;41952;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z022";268253;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 3, Plt 3º, B;41956;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z022";268235;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 3, Plt 3º, C;41957;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z022";268230;DOMÉSTICO;C/MAESTRO ALCARAZ ROCHER, Nº 3, Plt 4º, A;41938;15;01/10/2020;Sin Determinar;Sin determinar;4
